"timestamp","heartrate"
1484002800000,65
1484002815000,65
1484002820000,66
1484002835000,66
1484002850000,66
1484002860000,67
1484002875000,67
1484002880000,68
1484002890000,69
1484002900000,68
1484002915000,68
1484002930000,68
1484002945000,68
1484002960000,68
1484002975000,68
1484002990000,68
1484002995000,67
1484003000000,67
1484003005000,67
1484003020000,67
1484003030000,67
1484003040000,66
1484003055000,66
1484003065000,67
1484003070000,67
1484003080000,68
1484003085000,71
1484003090000,73
1484003095000,74
1484003100000,75
1484003110000,76
1484003120000,77
1484003135000,79
1484003140000,80
1484003145000,80
1484003150000,80
1484003155000,81
1484003160000,81
1484003175000,81
1484003185000,78
1484003190000,77
1484003195000,76
1484003210000,76
1484003225000,76
1484003240000,59
1484003250000,61
1484003260000,62
1484003275000,62
1484003290000,61
1484003300000,62
1484003315000,62
1484003330000,74
1484003340000,73
1484003350000,71
1484003360000,70
1484003370000,69
1484003380000,68
1484003390000,69
1484003405000,69
1484003420000,68
1484003430000,69
1484003440000,70
1484003450000,74
1484003460000,73
1484003475000,73
1484003485000,73
1484003490000,73
1484003505000,73
1484003520000,73
1484003530000,72
1484003535000,72
1484003550000,72
1484003565000,73
1484003580000,73
1484003595000,73
1484003610000,74
1484003625000,74
1484003640000,74
1484003645000,74
1484003655000,75
1484003670000,75
1484003685000,75
1484003700000,75
1484003715000,75
1484003730000,74
1484003735000,73
1484003740000,71
1484003745000,71
1484003760000,71
1484003775000,70
1484003780000,71
1484003795000,71
1484003800000,70
1484003815000,69
1484003820000,68
1484003830000,68
1484003840000,70
1484003845000,69
1484003855000,70
1484003860000,71
1484003865000,71
1484003870000,72
1484003875000,73
1484003890000,74
1484003905000,74
1484003910000,74
1484003925000,74
1484003940000,75
1484003945000,79
1484003950000,82
1484003955000,85
1484003960000,87
1484003965000,90
1484003970000,94
1484003975000,99
1484003980000,100
1484003990000,102
1484003995000,105
1484004000000,107
1484004015000,108
1484004025000,109
1484004040000,109
1484004055000,111
1484004065000,109
1484004070000,109
1484004085000,108
1484004100000,108
1484004115000,108
1484004120000,107
1484004125000,110
1484004130000,112
1484004135000,113
1484004140000,113
1484004145000,112
1484004150000,95
1484004155000,88
1484004160000,88
1484004170000,87
1484004175000,87
1484004180000,86
1484004190000,86
1484004195000,85
1484004200000,84
1484004215000,84
1484004230000,85
1484004235000,88
1484004240000,89
1484004245000,88
1484004250000,85
1484004255000,85
1484004260000,80
1484004265000,80
1484004280000,81
1484004290000,81
1484004305000,81
1484004315000,81
1484004330000,81
1484004340000,71
1484004355000,71
1484004360000,70
1484004370000,72
1484004380000,71
1484004395000,71
1484004400000,71
1484004410000,71
1484004420000,69
1484004430000,67
1484004440000,66
1484004450000,66
1484004465000,66
1484004480000,66
1484004490000,67
1484004500000,67
1484004515000,67
1484004520000,66
1484004530000,66
1484004545000,66
1484004560000,66
1484004575000,66
1484004590000,65
1484004605000,65
1484004620000,67
1484004635000,67
1484004640000,64
1484004650000,61
1484004660000,59
1484004670000,58
1484004680000,58
1484004695000,58
1484004700000,61
1484004710000,61
1484004720000,58
1484004730000,59
1484004745000,59
1484004760000,59
1484004765000,58
1484004780000,58
1484004795000,59
1484004810000,59
1484004820000,65
1484004830000,66
1484004840000,72
1484004845000,71
1484004860000,70
1484004870000,69
1484004885000,69
1484004900000,69
1484004910000,68
1484004920000,70
1484004930000,71
1484004940000,70
1484004950000,69
1484004965000,69
1484004980000,69
1484004990000,70
1484005000000,69
1484005015000,69
1484005020000,70
1484005025000,70
1484005040000,70
1484005050000,68
1484005060000,69
1484005070000,74
1484005075000,73
1484005090000,73
1484005105000,73
1484005110000,73
1484005120000,72
1484005135000,72
1484005150000,72
1484005165000,72
1484005180000,72
1484005195000,72
1484005200000,72
1484005210000,71
1484005220000,70
1484005235000,70
1484005250000,70
1484005260000,70
1484005270000,68
1484005285000,68
1484005300000,69
1484005315000,69
1484005320000,68
1484005335000,68
1484005350000,68
1484005365000,70
1484005375000,71
1484005390000,73
1484005400000,71
1484005410000,69
1484005420000,68
1484005430000,68
1484005440000,67
1484005450000,66
1484005460000,66
1484005470000,65
1484005485000,65
1484005490000,66
1484005500000,67
1484005510000,67
1484005520000,67
1484005530000,65
1484005540000,64
1484005550000,64
1484005560000,64
1484005575000,64
1484005580000,63
1484005590000,61
1484005605000,61
1484005610000,63
1484005625000,63
1484005630000,62
1484005645000,62
1484005650000,61
1484005665000,61
1484005680000,60
1484005690000,59
1484005700000,59
1484005710000,60
1484005720000,59
1484005735000,59
1484005750000,59
1484005760000,60
1484005770000,59
1484005785000,59
1484005800000,59
1484005810000,58
1484005820000,59
1484005830000,58
1484005840000,61
1484005850000,62
1484005860000,58
1484005875000,58
1484005890000,58
1484005900000,57
1484005910000,57
1484005920000,57
1484005935000,57
1484005950000,57
1484005965000,57
1484005970000,57
1484005985000,57
1484005990000,57
1484006005000,57
1484006020000,57
1484006035000,57
1484006050000,57
1484006060000,57
1484006070000,56
1484006080000,57
1484006090000,56
1484006105000,56
1484006120000,56
1484006130000,56
1484006145000,56
1484006150000,56
1484006160000,58
1484006170000,57
1484006180000,57
1484006195000,57
1484006210000,57
1484006225000,57
1484006230000,55
1484006240000,53
1484006255000,53
1484006260000,53
1484006270000,54
1484006280000,54
1484006290000,55
1484006305000,55
1484006320000,56
1484006330000,55
1484006345000,55
1484006360000,56
1484006375000,56
1484006390000,56
1484006405000,56
1484006420000,55
1484006435000,55
1484006440000,55
1484006455000,55
1484006460000,55
1484006475000,55
1484006490000,55
1484006505000,55
1484006510000,55
1484006520000,76
1484006530000,62
1484006540000,57
1484006550000,60
1484006560000,58
1484006565000,58
1484006580000,59
1484006590000,63
1484006605000,63
1484006610000,60
1484006620000,58
1484006630000,60
1484006640000,58
1484006655000,58
1484006660000,59
1484006670000,57
1484006685000,57
1484006700000,56
1484006715000,56
1484006720000,57
1484006735000,57
1484006750000,56
1484006765000,56
1484006770000,55
1484006785000,55
1484006800000,55
1484006815000,55
1484006830000,55
1484006840000,56
1484006850000,55
1484006865000,55
1484006870000,56
1484006885000,56
1484006890000,55
1484006905000,55
1484006910000,56
1484006925000,56
1484006930000,53
1484006945000,53
1484006950000,54
1484006960000,55
1484006975000,55
1484006990000,55
1484007000000,53
1484007010000,54
1484007025000,54
1484007030000,56
1484007040000,55
1484007055000,55
1484007060000,56
1484007070000,56
1484007080000,55
1484007095000,55
1484007110000,55
1484007125000,55
1484007130000,56
1484007140000,55
1484007150000,54
1484007165000,54
1484007180000,55
1484007195000,55
1484007200000,54
1484007210000,55
1484007225000,55
1484007230000,54
1484007240000,55
1484007255000,55
1484007260000,54
1484007270000,55
1484007285000,55
1484007290000,54
1484007305000,54
1484007310000,53
1484007325000,53
1484007330000,54
1484007345000,54
1484007350000,55
1484007360000,54
1484007365000,54
1484007380000,54
1484007395000,54
1484007400000,53
1484007410000,51
1484007420000,54
1484007430000,53
1484007445000,53
1484007450000,52
1484007460000,54
1484007475000,54
1484007490000,54
1484007505000,54
1484007520000,55
1484007530000,54
1484007545000,54
1484007550000,55
1484007565000,55
1484007570000,53
1484007585000,53
1484007600000,54
1484007615000,54
1484007630000,54
1484007645000,54
1484007660000,54
1484007675000,54
1484007680000,54
1484007695000,54
1484007700000,53
1484007710000,54
1484007725000,54
1484007740000,54
1484007750000,53
1484007765000,53
1484007770000,55
1484007780000,53
1484007795000,53
1484007810000,53
1484007820000,54
1484007835000,54
1484007850000,54
1484007865000,54
1484007880000,54
1484007890000,55
1484007900000,53
1484007910000,54
1484007920000,67
1484007930000,65
1484007940000,62
1484007950000,60
1484007960000,56
1484007970000,55
1484007980000,55
1484007995000,55
1484008000000,54
1484008015000,54
1484008030000,53
1484008045000,53
1484008060000,54
1484008070000,53
1484008085000,53
1484008100000,53
1484008110000,52
1484008120000,53
1484008135000,53
1484008140000,52
1484008150000,51
1484008160000,53
1484008175000,53
1484008190000,52
1484008200000,53
1484008210000,54
1484008220000,53
1484008235000,53
1484008240000,54
1484008250000,55
1484008265000,55
1484008280000,54
1484008295000,54
1484008300000,55
1484008310000,54
1484008325000,54
1484008330000,55
1484008345000,55
1484008360000,54
1484008370000,55
1484008385000,55
1484008390000,56
1484008405000,56
1484008410000,55
1484008425000,55
1484008440000,57
1484008450000,56
1484008465000,56
1484008480000,56
1484008495000,56
1484008500000,59
1484008515000,59
1484008520000,57
1484008530000,57
1484008535000,58
1484008550000,58
1484008560000,61
1484008570000,58
1484008580000,57
1484008590000,55
1484008600000,54
1484008610000,53
1484008625000,53
1484008630000,54
1484008640000,53
1484008650000,54
1484008660000,55
1484008675000,55
1484008680000,54
1484008695000,54
1484008700000,59
1484008710000,60
1484008725000,60
1484008730000,59
1484008740000,57
1484008750000,56
1484008760000,55
1484008775000,55
1484008790000,56
1484008800000,57
1484008815000,57
1484008830000,56
1484008840000,54
1484008855000,54
1484008870000,56
1484008885000,56
1484008900000,56
1484008910000,55
1484008920000,54
1484008935000,54
1484008940000,58
1484008955000,58
1484008960000,55
1484008965000,55
1484008980000,56
1484008990000,54
1484009000000,55
1484009010000,56
1484009020000,56
1484009030000,54
1484009040000,56
1484009050000,57
1484009060000,58
1484009070000,58
1484009080000,57
1484009090000,56
1484009100000,57
1484009110000,59
1484009125000,59
1484009130000,57
1484009140000,56
1484009150000,55
1484009160000,53
1484009175000,53
1484009180000,57
1484009195000,57
1484009200000,54
1484009215000,54
1484009220000,54
1484009235000,54
1484009250000,56
1484009260000,54
1484009275000,54
1484009280000,53
1484009290000,54
1484009300000,55
1484009310000,55
1484009325000,55
1484009330000,54
1484009345000,54
1484009350000,55
1484009360000,56
1484009370000,55
1484009380000,55
1484009390000,55
1484009400000,55
1484009410000,55
1484009420000,55
1484009430000,56
1484009440000,56
1484009455000,56
1484009460000,56
1484009475000,56
1484009480000,56
1484009490000,56
1484009500000,56
1484009510000,55
1484009520000,57
1484009530000,55
1484009545000,55
1484009550000,55
1484009560000,55
1484009575000,55
1484009580000,56
1484009590000,54
1484009600000,55
1484009615000,55
1484009630000,55
1484009645000,55
1484009660000,55
1484009670000,56
1484009685000,56
1484009700000,56
1484009715000,56
1484009730000,57
1484009740000,57
1484009750000,56
1484009760000,55
1484009770000,55
1484009780000,55
1484009795000,55
1484009800000,56
1484009815000,56
1484009830000,56
1484009845000,56
1484009850000,55
1484009865000,55
1484009880000,55
1484009895000,55
1484009910000,55
1484009920000,55
1484009930000,55
1484009945000,55
1484009960000,55
1484009975000,55
1484009990000,55
1484010005000,55
1484010020000,55
1484010035000,55
1484010050000,55
1484010065000,55
1484010080000,55
1484010095000,55
1484010100000,55
1484010115000,55
1484010120000,55
1484010135000,55
1484010150000,54
1484010165000,54
1484010170000,55
1484010185000,55
1484010200000,55
1484010215000,55
1484010220000,54
1484010230000,55
1484010245000,55
1484010260000,55
1484010275000,55
1484010290000,55
1484010300000,56
1484010315000,56
1484010330000,56
1484010340000,55
1484010355000,55
1484010360000,56
1484010375000,56
1484010390000,56
1484010405000,56
1484010420000,56
1484010430000,55
1484010440000,56
1484010455000,56
1484010460000,56
1484010470000,56
1484010480000,56
1484010495000,56
1484010510000,56
1484010525000,56
1484010540000,56
1484010555000,56
1484010570000,56
1484010580000,56
1484010595000,56
1484010600000,55
1484010615000,55
1484010620000,55
1484010635000,55
1484010650000,55
1484010660000,56
1484010675000,56
1484010690000,56
1484010700000,55
1484010710000,54
1484010720000,55
1484010735000,55
1484010740000,55
1484010755000,55
1484010760000,55
1484010775000,55
1484010780000,55
1484010795000,55
1484010800000,54
1484010815000,54
1484010820000,54
1484010835000,54
1484010840000,55
1484010850000,55
1484010865000,55
1484010880000,55
1484010890000,55
1484010905000,55
1484010910000,55
1484010920000,55
1484010935000,55
1484010950000,55
1484010965000,55
1484010970000,55
1484010980000,55
1484010990000,55
1484011000000,55
1484011015000,55
1484011020000,55
1484011035000,55
1484011050000,54
1484011060000,54
1484011075000,54
1484011080000,54
1484011090000,55
1484011105000,55
1484011110000,54
1484011125000,54
1484011130000,55
1484011145000,55
1484011150000,55
1484011160000,55
1484011170000,55
1484011180000,54
1484011190000,54
1484011205000,54
1484011210000,53
1484011220000,53
1484011230000,53
1484011240000,54
1484011255000,54
1484011270000,54
1484011280000,54
1484011295000,54
1484011310000,54
1484011325000,54
1484011330000,53
1484011340000,54
1484011350000,54
1484011360000,53
1484011365000,53
1484011380000,66
1484011390000,59
1484011400000,56
1484011410000,54
1484011420000,53
1484011430000,52
1484011440000,53
1484011450000,52
1484011465000,52
1484011470000,53
1484011480000,54
1484011495000,54
1484011500000,53
1484011510000,54
1484011520000,53
1484011535000,53
1484011540000,54
1484011555000,54
1484011560000,53
1484011570000,54
1484011585000,54
1484011590000,55
1484011600000,53
1484011610000,54
1484011625000,54
1484011630000,54
1484011645000,54
1484011660000,54
1484011670000,53
1484011685000,53
1484011700000,53
1484011710000,54
1484011720000,53
1484011730000,54
1484011740000,53
1484011755000,53
1484011770000,54
1484011785000,54
1484011790000,53
1484011805000,53
1484011810000,55
1484011820000,56
1484011830000,54
1484011840000,53
1484011850000,52
1484011865000,52
1484011870000,53
1484011885000,53
1484011900000,53
1484011915000,53
1484011930000,52
1484011940000,53
1484011950000,53
1484011960000,52
1484011975000,52
1484011980000,51
1484011990000,52
1484012000000,53
1484012015000,53
1484012020000,54
1484012030000,53
1484012045000,53
1484012060000,52
1484012070000,54
1484012080000,53
1484012095000,53
1484012100000,54
1484012110000,53
1484012120000,52
1484012130000,53
1484012145000,53
1484012150000,52
1484012160000,53
1484012175000,53
1484012190000,53
1484012205000,53
1484012210000,52
1484012225000,52
1484012240000,53
1484012250000,53
1484012265000,53
1484012280000,54
1484012290000,53
1484012305000,53
1484012310000,54
1484012320000,53
1484012330000,52
1484012340000,54
1484012350000,53
1484012365000,53
1484012380000,53
1484012395000,53
1484012400000,52
1484012410000,53
1484012420000,52
1484012430000,53
1484012440000,54
1484012455000,54
1484012460000,53
1484012470000,54
1484012485000,54
1484012490000,53
1484012505000,53
1484012520000,53
1484012535000,53
1484012540000,55
1484012550000,54
1484012565000,54
1484012570000,53
1484012585000,53
1484012600000,54
1484012610000,53
1484012625000,53
1484012630000,54
1484012645000,54
1484012650000,53
1484012665000,53
1484012670000,52
1484012680000,53
1484012695000,53
1484012710000,54
1484012720000,53
1484012735000,53
1484012740000,52
1484012750000,53
1484012760000,54
1484012770000,53
1484012785000,53
1484012800000,54
1484012815000,54
1484012820000,53
1484012830000,54
1484012840000,53
1484012850000,53
1484012860000,54
1484012870000,53
1484012880000,52
1484012890000,53
1484012905000,53
1484012920000,54
1484012935000,54
1484012940000,53
1484012950000,54
1484012960000,53
1484012975000,53
1484012980000,54
1484012995000,54
1484013000000,53
1484013015000,53
1484013020000,54
1484013035000,54
1484013050000,54
1484013065000,54
1484013070000,53
1484013085000,53
1484013090000,52
1484013105000,52
1484013110000,54
1484013125000,54
1484013130000,53
1484013140000,53
1484013150000,52
1484013160000,53
1484013175000,53
1484013190000,53
1484013200000,52
1484013215000,52
1484013230000,52
1484013240000,54
1484013250000,53
1484013265000,53
1484013280000,53
1484013290000,52
1484013300000,53
1484013315000,53
1484013330000,53
1484013345000,53
1484013350000,54
1484013365000,54
1484013370000,53
1484013375000,54
1484013390000,62
1484013400000,69
1484013410000,67
1484013420000,62
1484013430000,57
1484013440000,54
1484013450000,52
1484013465000,52
1484013470000,51
1484013485000,51
1484013500000,52
1484013510000,53
1484013525000,53
1484013530000,52
1484013540000,53
1484013550000,52
1484013565000,52
1484013570000,53
1484013580000,53
1484013590000,53
1484013605000,53
1484013610000,52
1484013620000,54
1484013630000,53
1484013645000,53
1484013650000,52
1484013660000,51
1484013670000,52
1484013680000,52
1484013695000,52
1484013710000,52
1484013725000,52
1484013730000,51
1484013745000,51
1484013750000,52
1484013765000,52
1484013780000,53
1484013790000,52
1484013800000,53
1484013810000,52
1484013820000,53
1484013835000,53
1484013850000,53
1484013865000,53
1484013870000,52
1484013880000,53
1484013895000,53
1484013910000,56
1484013920000,57
1484013935000,59
1484013950000,59
1484013960000,60
1484013965000,60
1484013975000,61
1484013990000,71
1484014000000,72
1484014015000,72
1484014020000,74
1484014025000,74
1484014030000,75
1484014045000,75
1484014055000,76
1484014070000,76
1484014085000,76
1484014090000,75
1484014100000,76
1484014110000,75
1484014120000,76
1484014130000,69
1484014140000,68
1484014150000,65
1484014165000,65
1484014170000,62
1484014180000,59
1484014190000,57
1484014200000,54
1484014210000,57
1484014220000,58
1484014235000,58
1484014240000,67
1484014250000,63
1484014260000,58
1484014275000,58
1484014280000,56
1484014290000,58
1484014300000,57
1484014310000,56
1484014325000,56
1484014330000,58
1484014340000,56
1484014350000,55
1484014360000,56
1484014375000,56
1484014380000,59
1484014390000,58
1484014400000,56
1484014410000,55
1484014420000,56
1484014435000,56
1484014440000,57
1484014450000,55
1484014460000,56
1484014470000,55
1484014485000,55
1484014500000,54
1484014515000,54
1484014530000,55
1484014540000,57
1484014550000,55
1484014560000,53
1484014570000,55
1484014580000,56
1484014590000,54
1484014600000,56
1484014610000,55
1484014620000,54
1484014630000,56
1484014640000,58
1484014650000,57
1484014660000,54
1484014670000,59
1484014680000,56
1484014690000,54
1484014705000,54
1484014710000,56
1484014720000,54
1484014730000,55
1484014740000,54
1484014750000,53
1484014760000,54
1484014770000,55
1484014780000,54
1484014795000,54
1484014800000,55
1484014810000,54
1484014825000,54
1484014830000,55
1484014840000,53
1484014850000,53
1484014860000,54
1484014875000,54
1484014880000,53
1484014890000,54
1484014900000,52
1484014910000,53
1484014925000,53
1484014930000,54
1484014940000,58
1484014950000,54
1484014965000,54
1484014980000,54
1484014990000,55
1484015005000,55
1484015010000,56
1484015020000,59
1484015030000,55
1484015045000,55
1484015060000,57
1484015075000,57
1484015080000,56
1484015095000,56
1484015100000,54
1484015110000,56
1484015125000,56
1484015130000,55
1484015140000,56
1484015150000,54
1484015160000,55
1484015170000,54
1484015185000,54
1484015200000,55
1484015215000,55
1484015220000,56
1484015230000,56
1484015240000,59
1484015250000,55
1484015260000,59
1484015265000,60
1484015280000,78
1484015290000,77
1484015300000,66
1484015310000,63
1484015320000,65
1484015335000,65
1484015340000,63
1484015355000,63
1484015360000,65
