"timestamp","heartrate"
1484089200000,83
1484089215000,83
1484089220000,84
1484089235000,84
1484089250000,84
1484089255000,82
1484089260000,81
1484089275000,81
1484089280000,82
1484089295000,81
1484089300000,83
1484089315000,83
1484089320000,78
1484089330000,80
1484089340000,79
1484089350000,83
1484089360000,83
1484089370000,84
1484089380000,87
1484089390000,88
1484089400000,88
1484089410000,87
1484089420000,88
1484089435000,88
1484089440000,89
1484089450000,88
1484089460000,88
1484089470000,87
1484089485000,87
1484089500000,88
1484089515000,88
1484089520000,88
1484089535000,88
1484089545000,86
1484089560000,86
1484089575000,86
1484089590000,86
1484089605000,87
1484089610000,88
1484089615000,88
1484089620000,89
1484089625000,90
1484089635000,89
1484089640000,90
1484089650000,91
1484089655000,92
1484089660000,93
1484089675000,93
1484089680000,92
1484089695000,94
1484089705000,95
1484089710000,95
1484089715000,96
1484089720000,98
1484089725000,99
1484089730000,100
1484089740000,102
1484089755000,102
1484089770000,102
1484089775000,102
1484089790000,102
1484089800000,100
1484089805000,99
1484089820000,99
1484089830000,100
1484089845000,100
1484089850000,92
1484089860000,91
1484089870000,90
1484089880000,91
1484089895000,91
1484089910000,91
1484089925000,91
1484089930000,91
1484089940000,88
1484089950000,86
1484089960000,86
1484089970000,87
1484089980000,87
1484089985000,86
1484089990000,85
1484090005000,85
1484090020000,85
1484090035000,85
1484090040000,86
1484090055000,86
1484090070000,89
1484090080000,90
1484090085000,91
1484090090000,92
1484090105000,92
1484090120000,92
1484090135000,92
1484090140000,92
1484090150000,93
1484090155000,94
1484090165000,93
1484090180000,94
1484090185000,99
1484090190000,98
1484090200000,99
1484090205000,101
1484090220000,103
1484090230000,105
1484090245000,105
1484090255000,107
1484090265000,106
1484090270000,108
1484090285000,109
1484090290000,110
1484090295000,109
1484090300000,107
1484090305000,105
1484090310000,107
1484090325000,107
1484090330000,105
1484090335000,104
1484090345000,104
1484090360000,105
1484090365000,105
1484090370000,105
1484090375000,104
1484090390000,104
1484090395000,103
1484090410000,103
1484090425000,103
1484090440000,103
1484090445000,102
1484090450000,101
1484090455000,101
1484090460000,100
1484090475000,100
1484090480000,99
1484090485000,98
1484090500000,97
1484090510000,98
1484090515000,97
1484090530000,96
1484090545000,96
1484090550000,96
1484090560000,94
1484090570000,94
1484090580000,94
1484090595000,94
1484090600000,93
1484090610000,91
1484090620000,86
1484090630000,86
1484090640000,86
1484090650000,86
1484090665000,86
1484090670000,86
1484090680000,85
1484090695000,85
1484090700000,86
1484090715000,86
1484090720000,86
1484090730000,84
1484090740000,84
1484090755000,84
1484090770000,84
1484090785000,84
1484090800000,84
1484090810000,83
1484090825000,83
1484090840000,83
1484090850000,82
1484090865000,83
1484090870000,82
1484090885000,82
1484090900000,82
1484090915000,79
1484090930000,80
1484090945000,80
1484090950000,80
1484090955000,81
1484090960000,84
1484090965000,85
1484090970000,89
1484090975000,91
1484090980000,92
1484090985000,94
1484090990000,95
1484090995000,96
1484091000000,96
1484091010000,95
1484091025000,95
1484091040000,97
1484091045000,98
1484091055000,99
1484091060000,100
1484091070000,101
1484091075000,104
1484091080000,106
1484091085000,110
1484091090000,109
1484091095000,110
1484091100000,111
1484091105000,112
1484091110000,112
1484091115000,113
1484091120000,115
1484091125000,113
1484091140000,114
1484091155000,116
1484091160000,116
1484091165000,120
1484091170000,118
1484091175000,115
1484091180000,114
1484091190000,111
1484091195000,112
1484091200000,111
1484091205000,110
1484091210000,111
1484091220000,112
1484091225000,110
1484091235000,108
1484091240000,107
1484091245000,108
1484091250000,109
1484091255000,110
1484091265000,109
1484091270000,104
1484091285000,105
1484091290000,110
1484091300000,108
1484091310000,109
1484091315000,113
1484091320000,110
1484091335000,111
1484091340000,111
1484091345000,110
1484091360000,113
1484091365000,115
1484091370000,117
1484091375000,119
1484091380000,118
1484091385000,119
1484091390000,118
1484091395000,115
1484091400000,117
1484091405000,119
1484091410000,118
1484091415000,119
1484091420000,120
1484091430000,119
1484091440000,118
1484091445000,117
1484091450000,115
1484091455000,111
1484091460000,109
1484091465000,105
1484091470000,104
1484091485000,105
1484091490000,105
1484091500000,105
1484091505000,104
1484091520000,104
1484091535000,105
1484091540000,105
1484091545000,103
1484091550000,99
1484091555000,96
1484091560000,95
1484091570000,93
1484091580000,91
1484091590000,87
1484091600000,82
1484091605000,78
1484091615000,77
1484091630000,78
1484091640000,75
1484091655000,75
1484091660000,74
1484091665000,73
1484091680000,74
1484091685000,72
1484091695000,71
1484091700000,70
1484091710000,70
1484091720000,71
1484091730000,72
1484091740000,73
1484091755000,73
1484091770000,74
1484091775000,75
1484091790000,75
1484091795000,78
1484091800000,79
1484091805000,81
1484091810000,83
1484091820000,84
1484091835000,85
1484091840000,87
1484091850000,88
1484091855000,87
1484091860000,85
1484091865000,86
1484091870000,87
1484091880000,84
1484091885000,83
1484091890000,82
1484091900000,80
1484091905000,77
1484091915000,79
1484091925000,79
1484091930000,81
1484091935000,91
1484091940000,91
1484091955000,91
1484091960000,79
1484091965000,77
1484091980000,77
1484091985000,74
1484091990000,73
1484091995000,73
1484092000000,72
1484092010000,73
1484092015000,74
1484092020000,73
1484092030000,73
1484092040000,73
1484092055000,73
1484092060000,73
1484092075000,73
1484092080000,70
1484092090000,67
1484092100000,67
1484092110000,73
1484092125000,73
1484092140000,73
1484092150000,71
1484092160000,70
1484092165000,69
1484092180000,70
1484092190000,69
1484092195000,67
1484092200000,67
1484092205000,68
1484092215000,68
1484092230000,68
1484092245000,68
1484092250000,66
1484092265000,66
1484092270000,65
1484092280000,64
1484092290000,63
1484092300000,65
1484092315000,65
1484092320000,64
1484092335000,63
1484092340000,62
1484092350000,64
1484092360000,65
1484092365000,66
1484092370000,67
1484092380000,68
1484092395000,68
1484092410000,68
1484092425000,68
1484092430000,69
1484092445000,69
1484092450000,68
1484092460000,67
1484092470000,63
1484092480000,64
1484092490000,63
1484092495000,62
1484092510000,64
1484092520000,65
1484092535000,65
1484092540000,62
1484092550000,61
1484092565000,61
1484092580000,63
1484092595000,63
1484092610000,64
1484092620000,65
1484092630000,66
1484092640000,67
1484092650000,68
1484092665000,69
1484092670000,72
1484092675000,74
1484092680000,77
1484092685000,78
1484092690000,80
1484092695000,81
1484092700000,83
1484092705000,84
1484092710000,86
1484092715000,89
1484092720000,90
1484092725000,93
1484092730000,95
1484092735000,98
1484092740000,99
1484092745000,100
1484092760000,100
1484092765000,102
1484092780000,101
1484092785000,102
1484092790000,104
1484092800000,103
1484092805000,104
1484092810000,105
1484092815000,106
1484092820000,108
1484092825000,111
1484092830000,112
1484092835000,115
1484092840000,114
1484092845000,115
1484092850000,114
1484092855000,116
1484092860000,117
1484092870000,119
1484092875000,120
1484092880000,122
1484092885000,123
1484092895000,118
1484092900000,115
1484092905000,113
1484092920000,113
1484092925000,114
1484092935000,112
1484092940000,113
1484092950000,110
1484092965000,110
1484092980000,109
1484092990000,108
1484093000000,107
1484093005000,109
1484093020000,109
1484093030000,111
1484093040000,110
1484093055000,110
1484093060000,109
1484093065000,109
1484093075000,109
1484093090000,109
1484093405000,109
1484093420000,70
1484093490000,66
1484093505000,66
1484093520000,66
1484093535000,66
1484093550000,66
1484093565000,66
1484095260000,97
1484095275000,97
1484095280000,87
1484095290000,83
1484095300000,80
1484095310000,80
1484095320000,80
1484095330000,83
1484095340000,82
1484095355000,82
1484095370000,82
1484095380000,81
1484095395000,81
1484095400000,82
1484095405000,83
1484095420000,83
1484095435000,83
1484095440000,84
1484095455000,84
1484095460000,80
1484095470000,79
1484095485000,79
1484095500000,78
1484095510000,77
1484095525000,77
1484095540000,77
1484095555000,77
1484095560000,76
1484095570000,74
1484095585000,74
1484095590000,74
1484095600000,72
1484095615000,72
1484095620000,70
1484095630000,71
1484095645000,71
1484095650000,72
1484095665000,72
1484095680000,74
1484095690000,76
1484095700000,75
1484095710000,74
1484095720000,73
1484095730000,74
1484095745000,74
1484095760000,74
1484095770000,74
1484095785000,74
1484095790000,72
1484095805000,72
1484095810000,72
1484095820000,72
1484095830000,71
1484095840000,69
1484095850000,68
1484095865000,68
1484095870000,73
1484095880000,73
1484095890000,72
1484095900000,71
1484095915000,71
1484095920000,70
1484095935000,70
1484095940000,71
1484095950000,73
1484095955000,73
1484095970000,73
1484095985000,73
1484096000000,73
1484096015000,73
1484096030000,73
1484096045000,73
1484096060000,73
1484096070000,73
1484096085000,73
1484096100000,73
1484096110000,73
1484096120000,74
1484096130000,75
1484096145000,75
1484096150000,75
1484096165000,75
1484096180000,76
1484096190000,76
1484096200000,76
1484096210000,75
1484096215000,76
1484096230000,76
1484096235000,77
1484096240000,79
1484096255000,79
1484096260000,81
1484096265000,82
1484096280000,82
1484096295000,82
1484096300000,85
1484096310000,91
1484096315000,95
1484096320000,96
1484096325000,100
1484096330000,100
1484096335000,101
1484096340000,102
1484096345000,105
1484096350000,104
1484096360000,103
1484096365000,100
1484096375000,99
1484096380000,99
1484096385000,97
1484096390000,92
1484096395000,88
1484096410000,89
1484096425000,90
1484096435000,92
1484096440000,94
1484096445000,96
1484096450000,100
1484096465000,102
1484096470000,103
1484096485000,103
1484096490000,99
1484096500000,80
1484096510000,76
1484096520000,74
1484096525000,69
1484096540000,69
1484096555000,69
1484096560000,70
1484096570000,72
1484096580000,76
1484096590000,77
1484096605000,77
1484096620000,77
1484096630000,76
1484096640000,75
1484096650000,74
1484096660000,71
1484096670000,70
1484096680000,71
1484096695000,71
1484096710000,71
1484096725000,71
1484096730000,70
1484096745000,70
1484096760000,70
1484096775000,70
1484096780000,70
1484096795000,70
1484096810000,70
1484096825000,70
1484096830000,70
1484096840000,66
1484096850000,67
1484096860000,63
1484096870000,63
1484096880000,65
1484096890000,70
1484096900000,71
1484096910000,64
1484096920000,65
1484096930000,68
1484096945000,68
1484096950000,69
1484096965000,69
1484096970000,66
1484096980000,70
1484096990000,71
1484097000000,68
1484097010000,66
1484097020000,64
1484097030000,65
1484097040000,66
1484097050000,69
1484097060000,68
1484097070000,68
1484097080000,68
